word_id,headword,meaning_text,approved_as_is,alternative_word,alternative_pos
,identify,2. To show an identity,true,,
,identify,FIND (v),false,FIND,v
,illuminate,To make something visible with an external light source,true,,
,illuminate,COME ON,true,,
,illuminate,BE ON,true,,
,in,"To, or into a location or position",true,,
,in,"Function word that shows location, position, condition, time, or limits",true,,
,inboard,Nearer to the longitudinal axis,true,,
,inboard,In or to a position nearer to the longitudinal axis,true,,
,into,1. Movement to something and access to it,true,,
,into,"2. Function word that shows change, condition, result",true,,
,it,1. That refers to a thing that was previously mentioned,true,,
,it,2. That refers to an explicit or implicit state of affairs or circumstances,true,,
,length,1. The distance from one end to the other end,true,,
,length,2. The longer or longest of the three dimensions of an object,true,,
,lift,To move something up,true,,
,lift,THIN (adj),false,THIN,adj
,lift,SMALL (adj),false,SMALL,adj
,liquid,That has the properties of a liquid,true,,
,liquid,A material that is not a gas or a solid,true,,
,live,That includes explosive material,true,,
,live,ENERGIZE (v),false,ENERGIZE,v
,loose,"1. On, in, but not attached",true,,
,loose,2. Not tight,true,,
,loose,TENSION (TN),false,TENSION,tn
,manual,Operated with the hands,true,,
,manual,A publication that gives data related to a special subject,true,,
,maximum,"Related to the largest dimension, quantity, number, or value",true,,
,maximum,"The largest dimension, quantity, number, or value",true,,
,middle,At a point that is between two other points,true,,
,middle,A point that is at or near the center,true,,
,minimum,"Related to the smallest dimension, quantity, number, or value",true,,
,minimum,"The smallest dimension, quantity, number, or value",true,,
,mix,1. To put together two or more materials to become one,true,,
,mix,2. To become combined,true,,
,mode,That is made to move easily,true,,
,mode,A special condition of operation,true,,
,more,A large quantity of,true,,
,more,To a larger degree,true,,
,most,To the largest quantity of,true,,
,most,To the largest degree,true,,
,multiply,To use multiplication to get a result,true,,
,multiply,INCREASE (v),false,INCREASE,v
,neutral,1.  That has no effect,true,,
,neutral,2.  That is not acid or alkaline,true,,
,no,Not any,true,,
,no,Function word that shows the negative answer to a question,true,,
,number,1.  A symbol or word that identifies an integer and/or decimal,true,,
,number,2.  An amount that you can count or calculate,true,,
,off,Not in operation,true,,
,off,1.  Not in operation,true,,
,off,2.  Not in contact,true,,
,off,Not in contact with,true,,
,on,In operation,true,,
,on,1.  In operation,true,,
,on,2.  In contact,true,,
,on,"Function word that shows contact, support, direction",true,,
,only,Nothing more or different,true,,
,only,Exclusively,true,,
,open,That lets something go in or out,true,,
,open,1.  To move or cause to move from the closed position,true,,
,open,2. To operate a circuit breaker to interrupt an electrical circuit,true,,
,opposite,1.  In the other direction,true,,
,opposite,2.  Across from,true,,
,opposite,Across from,true,,
,other,Not the same as that given before,true,,
,other,That which is not the same as that given before,true,,
,out,"Away from, or not in, a location or position",true,,
,out,To a position away from the inside,true,,
,out of,1.  Through or from the inside to the outside,true,,
,out of,2.  Not in,true,,
,outboard,Farther from the longitudinal axis of something,true,,
,outboard,"In, or to, a position farther from the longitudinal axis of something",true,,
,performance,"The ability of a part, a mechanism, or system to do its necessary function when you compare it with a standard or specification",true,,
,performance,DO (v),false,DO,v
,point,1.  A sharp or tapered end,true,,
,point,2.  An accurate location,true,,
,point,1.  To show the position or direction of,true,,
,point,2.  To turn something in a specified direction,true,,
,proportion,The ratio of something to something else,true,,
,proportion,RELATION (n),false,RELATION,n
,push,1.  To apply a force to something to move it away from the source of the force,true,,
,push,2.  To move with a force against something,true,,
,quantity,A specified amount or number,true,,
,quantity,NUMBER (n).,true,,
,rear,Away from the person who looks or from a reference point,true,,
,rear,The rear part or rear surface,true,,
,record,1. To make notes of and keep data to use subsequently,true,,
,record,2. To put data on a storage medium,true,,
,recycle,To put a used material through a process to make it possible to use it or its components again,true,,
,recycle,CYCLE (n),false,CYCLE,n
,refer,1. To tell a person where to find information,true,,
,refer,2. To give information,true,,
,repair,The act of repairing or the result when something is repaired,true,,
,repair,To make an item serviceable,true,,
,retract,1. To pull in(to),false,1. TO PULL IN,to
,retract,2. To move in(to),false,2. TO MOVE IN,to
,safety,A condition that is safe,true,,
,safety,1. To prevent accidental operation,true,,
,safety,2. To make sure that something does not become loose,true,,
,same,Agrees in all details,true,,
,same,Agrees in all details,true,,
,seal,Something that prevents access or leaks,true,,
,seal,To prevent access or leaks,true,,
,see,To know with the eyes,true,,
,see,REFER (v),false,REFER,v
,see,EXAMINE (v),false,EXAMINE,v
,see,MAKE SURE (v),false,MAKE SURE,v
,select,To make a choice,true,,
,select,SET (v).,true,,
,set,A group of related items that you (can) use for the same purpose,true,,
,set,"To put something into a given adjustment, condition, or mode",true,,
,show,1.  To cause to be seen,true,,
,show,2. To be in view or come into view,true,,
,side,1. The specified surface or area of an object,true,,
,side,2. A location or direction that has a relationship to a center or a line of division,true,,
,since,"Function word that shows: ""from some time in the past until a later time or now""",true,,
,since,BECAUSE (conj),false,BECAUSE,conj
,smoke,A gas that has particles of burned material and that you can see,true,,
,smoke,To breathe the fumes of burning material and especially tobacco,true,,
,smoke,2. That has a constant rate of movement,true,,
,soak,1. To put something into a liquid and keep it there until it is fully wet or soft,true,,
,soak,2. To stay in liquid until fully wet or soft.,true,,
,solid,That has the properties of a solid,true,,
,solid,Material that is not a gas or a liquid,true,,
,solution,1. A liquid that includes a dissolved material,true,,
,solution,2. The answer to a problem,true,,
,some,Related to a quantity not specified,true,,
,some,Related to a quantity not specified,true,,
,source,1. Something that supplies energy or data,true,,
,source,2. The point where something starts,true,,
,start,The beginning of a movement or operation,true,,
,start,"1. To begin a procedure, movement, or operation",true,,
,start,"2. To come into being, activity, or operation",true,,
,stop,"1. To cause the end of a procedure, movement, or an operation",true,,
,stop,2. To come to an end,true,,
,structure,1. A construction,true,,
,structure,2. The arrangement of something,true,,
,supply,Something that is supplied,true,,
,supply,1. To give something that is necessary,true,,
,supply,2. To make something available for use,true,,
,synchronized,1. That operates at the same time,true,,
,synchronized,2. That agrees with,true,,
,that,Function word that starts a subordinate clause,true,,
,that,Function word that shows the person or thing referred to,true,,
,there,In that position,true,,
,there,Function word that starts a sentence or a subordinate clause,true,,
,these,Refers to specified persons or things,true,,
,these,Function word that shows the persons or things referred to,true,,
,this,Refers to a specified person or thing,true,,
,this,Function word that shows the person or thing referred to,true,,
,through,Function word that shows movement into one end or side and out of the other,true,,
,through,Function word that shows movement into one end or side and out of the other,true,,
,thus,for that reason,true,,
,thus,FOLLOW (v),false,FOLLOW,v
,to,Function word that shows:,true,,
,to,"The direction of point of arrival or time,connction,result,cause",true,,
,to,That the word that follows is an infinitive,true,,
,together,In one group or position,true,,
,together,AT THE SAME TIME,true,,
,top,That is uppermost,true,,
,top,The uppermost position,true,,
,total,All of,true,,
,total,The full quantity,true,,
,turn,One full cycle of movement around an axis,true,,
,turn,To move or cause to move around an axis or a point,true,,
,twist,1. To use a force that turns something and causes a distortion,true,,
,twist,2. To turn or change shape as a result of torsion,true,,
,unit,1.Equipment that does a function,true,,
,unit,2.A quantity that is a standard of measurement,true,,
,until,Up to the time that,true,,
,until,Up to the time of,true,,
,up,In a position above,true,,
,up,To a position above,true,,
,up,To a position above,true,,
,upstream,In a direction opposite to the flow,true,,
,upstream,In a direction opposite to the flow,true,,
,volume,1. The space that an object fills,true,,
,volume,2. How loud a sound is,true,,
,wear,To become damaged by friction,true,,
,wear,USE (v),false,USE,v
,wear,PUT ON (v),false,PUT ON,v
,weigh,1. To measure the weight of something,true,,
,weigh,2. To have a specified weight,true,,
